地区,国家,确诊,疑似,治愈,新增确诊,新增治愈,新增死亡,死亡,日期
印度尼西亚,印度尼西亚,1986,,64,1986,64,181,181,2020-04-03
圣马力诺,圣马力诺,242,,2,242,2,28,28,2020-04-03
马提尼克,马提尼克,128,,0,128,0,3,3,2020-04-03
瓜德罗普岛,瓜德罗普岛,125,,0,125,0,6,6,2020-04-03
苏丹,苏丹,8,,0,8,0,2,2,2020-04-03
卢旺达,卢旺达,84,,0,84,0,0,0,2020-04-03
美国,美国,245658,,9311,245658,9311,6068,6068,2020-04-03
卢森堡,卢森堡,2487,,0,2487,0,30,30,2020-04-03
波黑,波黑,464,,17,464,17,13,13,2020-04-03
乌拉圭,乌拉圭,369,,68,369,68,4,4,2020-04-03
缅甸,缅甸,20,,0,20,0,1,1,2020-04-03
马达加斯加,马达加斯加,59,,0,59,0,0,0,2020-04-03
柬埔寨,柬埔寨,110,,34,110,34,0,0,2020-04-03
瑞典,瑞典,5565,,17,5565,17,307,307,2020-04-03
日本,日本,3101,,404,3101,404,77,77,2020-04-03
墨西哥,墨西哥,1510,,1,1510,1,50,50,2020-04-03
新加坡,新加坡,1114,,266,1114,266,5,5,2020-04-03
厄瓜多尔,厄瓜多尔,2748,,0,2748,0,146,146,2020-04-03
波兰,波兰,2946,,13,2946,13,57,57,2020-04-03
巴基斯坦,巴基斯坦,2419,,107,2419,107,34,34,2020-04-03
罗马尼亚,罗马尼亚,2460,,220,2460,220,85,85,2020-04-03
塞尔维亚,塞尔维亚,1185,,0,1185,0,31,31,2020-04-03
智利,智利,3404,,335,3404,335,18,18,2020-04-03
芬兰,芬兰,1518,,10,1518,10,19,19,2020-04-03
摩洛哥,摩洛哥,735,,34,735,34,47,47,2020-04-03
阿根廷,阿根廷,1265,,240,1265,240,36,36,2020-04-03
韩国,韩国,10062,,6021,10062,6021,174,174,2020-04-03
塞内加尔,塞内加尔,207,,66,207,66,1,1,2020-04-03
英国,英国,38168,,135,38168,135,3605,3605,2020-04-03
意大利,意大利,115895,,18278,115895,18278,13915,13915,2020-04-03
西班牙,西班牙,117710,,30513,117710,30513,10935,10935,2020-04-03
土耳其,土耳其,18135,,415,18135,415,356,356,2020-04-03
法国,法国,59105,,12428,59105,12428,4503,4503,2020-04-03
俄罗斯,俄罗斯,4149,,281,4149,281,34,34,2020-04-03
俄罗斯,白俄罗斯,4149,,281,4149,281,34,34,2020-04-03
德国,德国,79696,,8481,79696,8481,1017,1017,2020-04-03
荷兰,荷兰,14697,,2954,14697,2954,1339,1339,2020-04-03
比利时,比利时,16770,,2872,16770,2872,1143,1143,2020-04-03
加拿大,加拿大,11283,,1592,11283,1592,139,139,2020-04-03
葡萄牙,葡萄牙,9886,,22,9886,22,246,246,2020-04-03
巴西,巴西,7910,,0,7910,0,299,299,2020-04-03
伊朗,伊朗,53183,,17935,53183,17935,3294,3294,2020-04-03
印度,印度,2547,,163,2547,163,181,181,2020-04-03
印度,印度尼西亚,2547,,163,2547,163,181,181,2020-04-03
秘鲁,秘鲁,1414,,537,1414,537,55,55,2020-04-03
沙特阿拉伯,沙特阿拉伯,1885,,328,1885,328,21,21,2020-04-03
以色列,以色列,7030,,338,7030,338,37,37,2020-04-03
挪威,挪威,5125,,0,5125,0,48,48,2020-04-03
爱尔兰,爱尔兰,3849,,0,3849,0,98,98,2020-04-03
瑞士,瑞士,19303,,1823,19303,1823,484,484,2020-04-03
阿联酋,阿联酋,1024,,96,1024,96,8,8,2020-04-03
卡塔尔,卡塔尔,949,,72,949,72,5,5,2020-04-03
乌克兰,乌克兰,942,,19,942,19,23,23,2020-04-03
菲律宾,菲律宾,3018,,52,3018,52,136,136,2020-04-03
捷克,捷克,3858,,67,3858,67,44,44,2020-04-03
多米尼加,多米尼加,1284,,0,1284,0,57,57,2020-04-03
丹麦,丹麦,3386,,894,3386,894,123,123,2020-04-03
巴拿马,巴拿马,1181,,4,1181,4,30,30,2020-04-03
哥伦比亚,哥伦比亚,1161,,31,1161,31,19,19,2020-04-03
孟加拉国,孟加拉国,61,,26,61,26,6,6,2020-04-03
奥地利,奥地利,10967,,1749,10967,1749,158,158,2020-04-03
南非,南非,1462,,45,1462,45,5,5,2020-04-03
埃及,埃及,865,,201,865,201,58,58,2020-04-03
摩尔多瓦,摩尔多瓦,505,,22,505,22,6,6,2020-04-03
马来西亚,马来西亚,3333,,827,3333,827,53,53,2020-04-03
科威特,科威特,417,,82,417,82,0,0,2020-04-03
匈牙利,匈牙利,632,,43,632,43,26,26,2020-04-03
哈萨克斯坦,哈萨克斯坦,386,,24,386,24,3,3,2020-04-03
乌兹别克斯坦,乌兹别克斯坦,205,,25,205,25,2,2,2020-04-03
阿尔及利亚,阿尔及利亚,986,,58,986,58,83,83,2020-04-03
阿曼,阿曼,252,,57,252,57,1,1,2020-04-03
爱沙尼亚,爱沙尼亚,858,,20,858,20,11,11,2020-04-03
波多黎各,波多黎各,286,,0,286,0,11,11,2020-04-03
古巴,古巴,212,,0,212,0,6,6,2020-04-03
斯洛文尼亚,斯洛文尼亚,841,,0,841,0,15,15,2020-04-03
克罗地亚,克罗地亚,1011,,88,1011,88,7,7,2020-04-03
加纳,加纳,204,,3,204,3,5,5,2020-04-03
巴林,巴林,672,,372,672,372,4,4,2020-04-03
立陶宛,立陶宛,649,,1,649,1,9,9,2020-04-03
阿富汗,阿富汗,239,,0,239,0,5,5,2020-04-03
斯洛伐克,斯洛伐克,450,,8,450,8,1,1,2020-04-03
北马其顿,北马其顿,354,,1,354,1,11,11,2020-04-03
保加利亚,保加利亚,477,,3,477,3,12,12,2020-04-03
亚美尼亚,亚美尼亚,736,,43,736,43,7,7,2020-04-03
喀麦隆,喀麦隆,306,,10,306,10,8,8,2020-04-03
吉布提,吉布提,49,,8,49,8,0,0,2020-04-03
