provinceName,countryName,confirmedCount,suspectedCount,curedCount,deadCount,updateTime
印度尼西亚,印度尼西亚,7148,0,913,635,2020-04-23 11:49:52.054
圣马力诺,圣马力诺,476,0,2,40,2020-04-23 11:49:52.054
马提尼克,马提尼克,163,0,0,14,2020-04-23 11:49:52.054
瓜德罗普岛,瓜德罗普岛,148,0,0,12,2020-04-23 11:49:52.054
苏丹,苏丹,162,0,14,13,2020-04-23 11:49:52.054
卢旺达,卢旺达,150,0,84,0,2020-04-23 11:49:52.054
美国,美国,841556,0,78474,46688,2020-04-23 11:30:38.799
卢森堡,卢森堡,3654,0,241,80,2020-04-23 11:24:15.087
波黑,波黑,1350,0,460,54,2020-04-23 11:24:15.087
乌拉圭,乌拉圭,549,0,337,12,2020-04-23 11:24:15.087
缅甸,缅甸,127,0,9,5,2020-04-23 11:24:15.087
马达加斯加,马达加斯加,121,0,35,0,2020-04-23 11:24:15.087
柬埔寨,柬埔寨,122,0,50,0,2020-04-23 11:24:15.087
美国,美国,840476,0,77800,46640,2020-04-23 10:23:20.831
瑞典,瑞典,16093,0,550,1939,2020-04-23 10:23:20.831
日本,日本,11991,0,1069,295,2020-04-23 10:23:20.831
墨西哥,墨西哥,10544,0,1,970,2020-04-23 10:23:20.831
新加坡,新加坡,10141,0,683,11,2020-04-23 10:23:20.831
厄瓜多尔,厄瓜多尔,10398,0,501,520,2020-04-23 10:23:20.831
波兰,波兰,10169,0,1513,426,2020-04-23 10:23:20.831
巴基斯坦,巴基斯坦,9749,0,2066,209,2020-04-23 10:23:20.831
罗马尼亚,罗马尼亚,9710,0,2406,508,2020-04-23 10:23:20.831
塞尔维亚,塞尔维亚,7718,0,1153,152,2020-04-23 10:23:20.831
智利,智利,11296,0,5386,160,2020-04-23 10:23:20.831
芬兰,芬兰,4129,0,10,149,2020-04-23 10:23:20.831
摩洛哥,摩洛哥,3446,0,417,149,2020-04-23 10:23:20.831
阿根廷,阿根廷,3288,0,737,159,2020-04-23 10:23:20.831
韩国,韩国,10702,0,8411,240,2020-04-23 10:23:20.831
塞内加尔,塞内加尔,442,0,253,6,2020-04-23 10:23:20.831
苏丹,苏丹,144,0,2,13,2020-04-23 10:23:20.831
美国,美国,837947,0,77340,46497,2020-04-23 10:04:06.653
英国,英国,133495,0,344,18100,2020-04-23 10:04:06.653
意大利,意大利,187327,0,54543,25085,2020-04-23 10:04:06.653
西班牙,西班牙,208389,0,85915,21717,2020-04-23 10:04:06.653
土耳其,土耳其,98674,0,16477,2376,2020-04-23 10:04:06.653
法国,法国,119151,0,40657,21340,2020-04-23 10:04:06.653
俄罗斯,俄罗斯,57999,0,4420,513,2020-04-23 10:04:06.653
德国,德国,145694,0,99400,4879,2020-04-23 10:04:06.653
荷兰,荷兰,34842,0,291,4054,2020-04-23 10:04:06.653
比利时,比利时,41889,0,9434,6262,2020-04-23 10:04:06.653
加拿大,加拿大,40191,0,13986,1976,2020-04-23 10:04:06.653
葡萄牙,葡萄牙,21982,0,1143,785,2020-04-23 10:04:06.653
巴西,巴西,45757,0,25318,2906,2020-04-23 10:04:06.653
伊朗,伊朗,85996,0,63113,5391,2020-04-23 10:04:06.653
印度,印度,20471,0,3960,652,2020-04-23 10:04:06.653
瑞典,瑞典,16004,0,550,1937,2020-04-23 10:04:06.653
秘鲁,秘鲁,19250,0,7027,530,2020-04-23 10:04:06.653
沙特阿拉伯,沙特阿拉伯,12772,0,1812,109,2020-04-23 10:04:06.653
日本,日本,11581,0,1069,283,2020-04-23 10:04:06.653
新加坡,新加坡,10141,0,683,11,2020-04-23 10:04:06.653
厄瓜多尔,厄瓜多尔,10398,0,501,520,2020-04-23 10:04:06.653
以色列,以色列,14326,0,4961,187,2020-04-23 10:04:06.653
波兰,波兰,10169,0,1513,426,2020-04-23 10:04:06.653
巴基斯坦,巴基斯坦,9749,0,2066,209,2020-04-23 10:04:06.653
挪威,挪威,7275,0,0,187,2020-04-23 10:04:06.653
罗马尼亚,罗马尼亚,9710,0,2406,508,2020-04-23 10:04:06.653
爱尔兰,爱尔兰,16671,0,9233,769,2020-04-23 10:04:06.653
瑞士,瑞士,28071,0,19900,1508,2020-04-23 10:04:06.653
阿联酋,阿联酋,8238,0,1546,52,2020-04-23 10:04:06.653
卡塔尔,卡塔尔,7141,0,689,10,2020-04-23 10:04:06.653
塞尔维亚,塞尔维亚,7718,0,1153,152,2020-04-23 10:04:06.653
乌克兰,乌克兰,6592,0,467,174,2020-04-23 10:04:06.653
印度尼西亚,印度尼西亚,7148,0,913,635,2020-04-23 10:04:06.653
菲律宾,菲律宾,6710,0,693,446,2020-04-23 10:04:06.653
捷克,捷克,7087,0,1989,208,2020-04-23 10:04:06.653
多米尼加,多米尼加,5044,0,0,245,2020-04-23 10:04:06.653
丹麦,丹麦,7912,0,2748,384,2020-04-23 10:04:06.653
