provinceName,countryName,confirmedCount,suspectedCount,curedCount,deadCount,updateTime
黑龙江省,中国,925,384,485,13,2020-04-23 13:53:59.161
香港,中国,1033,47,678,4,2020-04-23 13:53:59.161
台湾,中国,426,343,236,6,2020-04-23 13:53:59.161
上海市,中国,640,300,532,7,2020-04-23 13:53:59.161
内蒙古自治区,中国,194,34,108,1,2020-04-23 13:53:59.161
湖北省,中国,68128,0,63547,4512,2020-04-23 13:53:59.161
北京市,中国,593,164,522,8,2020-04-23 13:53:59.161
广东省,中国,1584,11,1518,8,2020-04-23 13:53:59.161
山西省,中国,197,18,142,0,2020-04-23 13:53:59.161
陕西省,中国,279,1,253,3,2020-04-23 13:53:59.161
澳门,中国,45,9,26,0,2020-04-23 13:53:59.161
山东省,中国,787,14,766,7,2020-04-23 13:53:59.161
浙江省,中国,1268,3,1254,1,2020-04-23 13:53:59.161
福建省,中国,355,3,342,1,2020-04-23 13:53:59.161
江苏省,中国,653,3,645,0,2020-04-23 13:53:59.161
天津市,中国,189,48,178,3,2020-04-23 13:53:59.161
吉林省,中国,107,3,98,1,2020-04-23 13:53:59.161
河北省,中国,328,0,317,6,2020-04-23 13:53:59.161
云南省,中国,184,0,178,2,2020-04-23 13:53:59.161
重庆市,中国,579,1,570,6,2020-04-23 13:53:59.161
安徽省,中国,991,0,984,6,2020-04-23 13:53:59.161
四川省,中国,561,13,557,3,2020-04-23 13:53:59.161
辽宁省,中国,146,0,143,2,2020-04-23 13:53:59.161
河南省,中国,1276,0,1254,22,2020-04-23 13:53:59.161
湖南省,中国,1019,0,1015,4,2020-04-23 13:53:59.161
江西省,中国,937,0,936,1,2020-04-23 13:53:59.161
广西壮族自治区,中国,254,0,252,2,2020-04-23 13:53:59.161
海南省,中国,168,0,162,6,2020-04-23 13:53:59.161
贵州省,中国,147,0,145,2,2020-04-23 13:53:59.161
甘肃省,中国,139,0,137,2,2020-04-23 13:53:59.161
新疆维吾尔自治区,中国,76,0,73,3,2020-04-23 13:53:59.161
宁夏回族自治区,中国,75,0,75,0,2020-04-23 13:53:59.161
青海省,中国,18,0,18,0,2020-04-23 13:53:59.161
西藏自治区,中国,1,0,1,0,2020-04-23 13:53:59.161
美国,美国,841556,0,78474,46688,2020-04-23 13:53:59.161
英国,英国,133495,0,344,18100,2020-04-23 13:53:59.161
意大利,意大利,187327,0,54543,25085,2020-04-23 13:53:59.161
西班牙,西班牙,208389,0,85915,21717,2020-04-23 13:53:59.161
土耳其,土耳其,98674,0,16477,2376,2020-04-23 13:53:59.161
法国,法国,119151,0,40657,21340,2020-04-23 13:53:59.161
俄罗斯,俄罗斯,57999,0,4420,513,2020-04-23 13:53:59.161
德国,德国,145694,0,99400,4879,2020-04-23 13:53:59.161
荷兰,荷兰,34842,0,291,4054,2020-04-23 13:53:59.161
比利时,比利时,41889,0,9434,6262,2020-04-23 13:53:59.161
加拿大,加拿大,40191,0,13986,1976,2020-04-23 13:53:59.161
葡萄牙,葡萄牙,21982,0,1143,785,2020-04-23 13:53:59.161
巴西,巴西,45757,0,25318,2906,2020-04-23 13:53:59.161
伊朗,伊朗,85996,0,63113,5391,2020-04-23 13:53:59.161
印度,印度,20471,0,3960,652,2020-04-23 13:53:59.161
瑞典,瑞典,16093,0,550,1939,2020-04-23 13:53:59.161
