provinceName,countryName,confirmedCount,suspectedCount,curedCount,deadCount,updateTime
厄瓜多尔,厄瓜多尔,58,0,0,2,2020-03-17 20:40:24.260
墨西哥,墨西哥,82,0,1,0,2020-03-17 20:36:09.256
巴林,巴林,237,0,81,1,2020-03-17 20:33:58.956
日本,日本,851,0,157,29,2020-03-17 20:13:41.273
摩洛哥,摩洛哥,38,0,1,2,2020-03-17 20:13:41.273
辽宁省,中国,125,0,120,1,2020-03-17 20:12:37.643
中国,中国,81135,0,68820,3231,2020-03-17 20:12:37.643
伊拉克,伊拉克,154,0,41,11,2020-03-17 20:12:37.643
伊朗,伊朗,16169,0,5389,988,2020-03-17 20:00:51.485
西班牙,西班牙,11178,0,1028,491,2020-03-17 20:00:51.485
德国,德国,7840,0,135,17,2020-03-17 20:00:51.485
美国,美国,4661,0,48,90,2020-03-17 20:00:51.485
比利时,比利时,1243,0,1,5,2020-03-17 20:00:51.485
马来西亚,马来西亚,673,0,49,2,2020-03-17 20:00:51.485
加拿大,加拿大,436,0,4,4,2020-03-17 20:00:51.485
波兰,波兰,205,0,13,3,2020-03-17 20:00:51.485
菲律宾,菲律宾,187,0,1,12,2020-03-17 20:00:51.485
印度尼西亚,印度尼西亚,172,0,2,4,2020-03-17 20:00:51.485
黎巴嫩,黎巴嫩,120,0,1,3,2020-03-17 20:00:51.485
塞尔维亚,塞尔维亚,65,0,0,0,2020-03-17 20:00:51.485
阿根廷,阿根廷,65,0,1,2,2020-03-17 20:00:51.485
文莱,文莱,56,0,0,0,2020-03-17 20:00:51.485
匈牙利,匈牙利,50,0,1,1,2020-03-17 20:00:51.485
摩洛哥,摩洛哥,37,0,1,2,2020-03-17 20:00:51.485
哈萨克斯坦,哈萨克斯坦,32,0,0,0,2020-03-17 20:00:51.485
阿塞拜疆,阿塞拜疆,28,0,6,1,2020-03-17 20:00:51.485
新西兰,新西兰,11,0,0,0,2020-03-17 20:00:51.485
尼日利亚,尼日利亚,3,0,0,0,2020-03-17 20:00:51.485
利比里亚,利比里亚,2,0,0,0,2020-03-17 20:00:51.485
湖北省,中国,67799,0,56003,3111,2020-03-17 19:47:01.306
伊朗,伊朗,16169,0,5389,988,2020-03-17 19:47:01.306
西班牙,西班牙,11178,0,1028,491,2020-03-17 19:47:01.306
中国,中国,81135,0,68819,3231,2020-03-17 19:47:01.306
德国,德国,7840,0,135,17,2020-03-17 19:47:01.306
马来西亚,马来西亚,553,0,42,1,2020-03-17 19:47:01.306
黎巴嫩,黎巴嫩,120,0,1,3,2020-03-17 19:47:01.306
摩洛哥,摩洛哥,37,0,1,2,2020-03-17 19:47:01.306
利比里亚,利比里亚,2,0,0,0,2020-03-17 19:47:01.306
北京市,中国,456,0,369,8,2020-03-17 18:55:48.722
中国,中国,81135,0,68813,3231,2020-03-17 18:55:48.722
德国,德国,7840,0,67,17,2020-03-17 18:55:48.722
陕西省,中国,246,0,236,3,2020-03-17 18:42:10.377
中国,中国,81135,0,68812,3231,2020-03-17 18:42:10.377
湖北省,中国,67799,0,55997,3111,2020-03-17 18:24:20.265
中国,中国,81135,0,68809,3231,2020-03-17 18:24:20.265
韩国,韩国,8320,0,1401,81,2020-03-17 18:24:20.265
意大利,意大利,27980,0,2749,2158,2020-03-17 18:13:30.843
伊朗,伊朗,14991,0,4996,853,2020-03-17 18:13:30.843
西班牙,西班牙,9191,0,571,309,2020-03-17 18:13:30.843
德国,德国,7840,0,14,17,2020-03-17 18:13:30.843
韩国,韩国,8320,0,1401,81,2020-03-17 18:13:30.843
法国,法国,6633,0,36,148,2020-03-17 18:13:30.843
美国,美国,4629,0,48,90,2020-03-17 18:13:30.843
瑞士,瑞士,2200,0,3,14,2020-03-17 18:13:30.843
英国,英国,1543,0,18,35,2020-03-17 18:13:30.843
荷兰,荷兰,1413,0,0,24,2020-03-17 18:13:30.843
挪威,挪威,1331,0,0,3,2020-03-17 18:13:30.843
瑞典,瑞典,1119,0,0,7,2020-03-17 18:13:30.843
比利时,比利时,1085,0,1,5,2020-03-17 18:13:30.843
奥地利,奥地利,1016,0,6,3,2020-03-17 18:13:30.843
丹麦,丹麦,914,0,1,4,2020-03-17 18:13:30.843
日本,日本,835,0,157,24,2020-03-17 18:13:30.843
马来西亚,马来西亚,553,0,42,0,2020-03-17 18:13:30.843
卡塔尔,卡塔尔,439,0,0,0,2020-03-17 18:13:30.843
澳大利亚,澳大利亚,449,0,27,5,2020-03-17 18:13:30.843
加拿大,加拿大,424,0,4,4,2020-03-17 18:13:30.843
希腊,希腊,352,0,0,4,2020-03-17 18:13:30.843
捷克,捷克,344,0,3,0,2020-03-17 18:13:30.843
以色列,以色列,304,0,5,0,2020-03-17 18:13:30.843
芬兰,芬兰,272,0,1,0,2020-03-17 18:13:30.843
斯洛文尼亚,斯洛文尼亚,253,0,0,1,2020-03-17 18:13:30.843
钻石公主号邮轮,钻石公主号邮轮,712,0,458,7,2020-03-17 18:13:30.843
葡萄牙,葡萄牙,245,0,0,0,2020-03-17 18:13:30.843
巴西,巴西,234,0,0,0,2020-03-17 18:13:30.843
爱尔兰,爱尔兰,223,0,0,2,2020-03-17 18:13:30.843
爱沙尼亚,爱沙尼亚,205,0,0,0,2020-03-17 18:13:30.843
巴基斯坦,巴基斯坦,184,0,1,0,2020-03-17 18:13:30.843
冰岛,冰岛,180,0,0,0,2020-03-17 18:13:30.843
波兰,波兰,177,0,13,3,2020-03-17 18:13:30.843
智利,智利,156,0,0,0,2020-03-17 18:13:30.843
罗马尼亚,罗马尼亚,158,0,3,0,2020-03-17 18:13:30.843
巴林,巴林,229,0,81,1,2020-03-17 18:13:30.843
新加坡,新加坡,243,0,105,0,2020-03-17 18:13:30.843
埃及,埃及,166,0,26,2,2020-03-17 18:13:30.843
泰国,泰国,177,0,41,1,2020-03-17 18:13:30.843
