provinceName,countryName,confirmedCount,suspectedCount,curedCount,deadCount,updateTime
巴西,巴西,126250,0,48221,8574,2020-05-07 11:14:49.825
美国,美国,1228603,0,189910,73418,2020-05-07 11:11:34.630
俄罗斯,俄罗斯,165929,0,21327,1537,2020-05-07 11:11:34.630
德国,德国,166091,0,139900,7119,2020-05-07 11:11:34.630
阿根廷,阿根廷,5208,0,1524,273,2020-05-07 10:42:10.695
韩国,韩国,10810,0,9419,256,2020-05-07 10:42:10.695
新西兰,新西兰,1139,4,1252,21,2020-05-07 10:42:10.695
美国,美国,1223468,0,189910,73039,2020-05-07 10:03:09.103
英国,英国,201101,0,344,30076,2020-05-07 10:03:09.103
俄罗斯,俄罗斯,165929,0,21327,1537,2020-05-07 10:03:09.103
意大利,意大利,214457,0,93245,29684,2020-05-07 10:03:09.103
巴西,巴西,126060,0,48221,8565,2020-05-07 10:03:09.103
西班牙,西班牙,220325,0,126002,25857,2020-05-07 10:03:09.103
法国,法国,137150,0,53972,25809,2020-05-07 10:03:09.103
土耳其,土耳其,131744,0,78202,3584,2020-05-07 10:03:09.103
荷兰,荷兰,41319,0,291,5204,2020-05-07 10:03:09.103
秘鲁,秘鲁,54817,0,17527,1533,2020-05-07 10:03:09.103
印度,印度,49391,0,14183,1694,2020-05-07 10:03:09.103
加拿大,加拿大,63496,0,28171,4232,2020-05-07 10:03:09.103
比利时,比利时,50781,0,12731,8339,2020-05-07 10:03:09.103
沙特阿拉伯,沙特阿拉伯,31938,0,6783,209,2020-05-07 10:03:09.103
厄瓜多尔,厄瓜多尔,29420,0,3433,1618,2020-05-07 10:03:09.103
葡萄牙,葡萄牙,26182,0,2076,1089,2020-05-07 10:03:09.103
瑞典,瑞典,24018,0,1543,2959,2020-05-07 10:03:09.103
新加坡,新加坡,20198,0,1408,18,2020-05-07 10:03:09.103
巴基斯坦,巴基斯坦,22550,0,6217,526,2020-05-07 10:03:09.103
白俄罗斯,白俄罗斯,19255,0,4388,112,2020-05-07 10:03:09.103
伊朗,伊朗,101650,0,81587,6418,2020-05-07 10:03:09.103
阿联酋,阿联酋,15738,0,3359,157,2020-05-07 10:03:09.103
智利,智利,23048,0,11189,281,2020-05-07 10:03:09.103
孟加拉国,孟加拉国,11719,0,177,186,2020-05-07 10:03:09.103
乌克兰,乌克兰,13184,0,2097,327,2020-05-07 10:03:09.103
波兰,波兰,14740,0,4655,733,2020-05-07 10:03:09.103
印度尼西亚,印度尼西亚,12438,0,2317,895,2020-05-07 10:03:09.103
塞尔维亚,塞尔维亚,10533,0,1971,227,2020-05-07 10:03:09.103
墨西哥,墨西哥,27634,0,16810,2704,2020-05-07 10:03:09.103
菲律宾,菲律宾,10004,0,1506,658,2020-05-07 10:03:09.103
挪威,挪威,7976,0,0,216,2020-05-07 10:03:09.103
爱尔兰,爱尔兰,22248,0,13386,1375,2020-05-07 10:03:09.103
罗马尼亚,罗马尼亚,14107,0,5788,858,2020-05-07 10:03:09.103
哥伦比亚,哥伦比亚,8959,0,1210,397,2020-05-07 10:03:09.103
多米尼加,多米尼加,8480,0,993,354,2020-05-07 10:03:09.103
巴拿马,巴拿马,7387,0,455,203,2020-05-07 10:03:09.103
以色列,以色列,16314,0,10527,238,2020-05-07 10:03:09.103
埃及,埃及,7588,0,1815,469,2020-05-07 10:03:09.103
南非,南非,7808,0,3153,153,2020-05-07 10:03:09.103
科威特,科威特,6289,0,2219,42,2020-05-07 10:03:09.103
捷克,捷克,7933,0,4202,262,2020-05-07 10:03:09.103
哈萨克斯坦,哈萨克斯坦,4298,0,995,29,2020-05-07 10:03:09.103
摩洛哥,摩洛哥,5408,0,2017,183,2020-05-07 10:03:09.103
瑞士,瑞士,30060,0,25700,1505,2020-05-07 10:03:09.103
阿富汗,阿富汗,3392,0,458,104,2020-05-07 10:03:09.103
摩尔多瓦,摩尔多瓦,4363,0,1544,140,2020-05-07 10:03:09.103
丹麦,丹麦,9938,0,6987,506,2020-05-07 10:03:09.103
阿尔及利亚,阿尔及利亚,4997,0,2197,476,2020-05-07 10:03:09.103
芬兰,芬兰,5573,0,3000,252,2020-05-07 10:03:09.103
阿曼,阿曼,2903,0,888,13,2020-05-07 10:03:09.103
匈牙利,匈牙利,3111,0,759,373,2020-05-07 10:03:09.103
巴林,巴林,3842,0,1860,8,2020-05-07 10:03:09.103
波多黎各,波多黎各,1924,0,0,97,2020-05-07 10:03:09.103
奥地利,奥地利,15633,0,13228,608,2020-05-07 10:03:09.103
亚美尼亚,亚美尼亚,2782,0,1035,40,2020-05-07 10:03:09.103
马来西亚,马来西亚,6428,0,4702,107,2020-05-07 10:03:09.103
玻利维亚,玻利维亚,1681,0,159,82,2020-05-07 10:03:09.103
爱沙尼亚,爱沙尼亚,1713,0,253,55,2020-05-07 10:03:09.103
保加利亚,保加利亚,1778,0,360,82,2020-05-07 10:03:09.103
几内亚,几内亚,1856,0,597,11,2020-05-07 10:03:09.103
